"Site1","Site2","Fst"
"ARN","ARL",0.0688981476780152
"BAT","ARL",0.0526388387239885
"BRO","ARL",0.0296400537580301
"CAD","ARL",0.129134559300414
"CAN","ARL",0.0546606314787283
"CAS","ARL",0.0199447349389474
"CLA","ARL",0.042048296125174
"CRA","ARL",0.107552079076159
"HEN","ARL",0.0340507048462348
"HID","ARL",0.0526622810292755
"LAN","ARL",0.0481970318719914
"PAR","ARL",0.0273820650250377
"PEN","ARL",0.0752900000281156
"PYS","ARL",0.0435420333323626
"SHE","ARL",0.0508940394048743
"STO","ARL",0.018932525625976
"THE","ARL",0.0440568033025557
"WES","ARL",0.0475913909146487
"BAT","ARN",0.0525292268732284
"BRO","ARN",0.0772067100528568
"CAD","ARN",0.136808071368921
"CAN","ARN",0.0616087441347288
"CAS","ARN",0.0616478245775953
"CLA","ARN",0.0292516584301635
"CRA","ARN",0.118139601597786
"HEN","ARN",0.0513044920082946
"HID","ARN",0.0582528996030347
"LAN","ARN",0.094627584109924
"PAR","ARN",0.0724650233024019
"PEN","ARN",0.11716231239485
"PYS","ARN",0.0552426180984202
"SHE","ARN",0.0562047712396044
"STO","ARN",0.080834807754457
"THE","ARN",0.0439710563744458
"WES","ARN",0.0418109055892873
"BRO","BAT",0.0607504742015791
"CAD","BAT",0.1167136978424
"CAN","BAT",0.0386528983603983
"CAS","BAT",0.0446952210668666
"CLA","BAT",0.0237152604136775
"CRA","BAT",0.0981413990058143
"HEN","BAT",0.0346738221083436
"HID","BAT",0.0367126478709156
"LAN","BAT",0.0776369512678838
"PAR","BAT",0.0566665438422981
"PEN","BAT",0.100157174614061
"PYS","BAT",0.030146716636055
"SHE","BAT",0.0337087857986751
"STO","BAT",0.0628349252932299
"THE","BAT",0.0280465980755155
"WES","BAT",0.0272733991438188
"CAD","BRO",0.133054681043651
"CAN","BRO",0.0627864379421949
"CAS","BRO",0.0231625627358458
"CLA","BRO",0.0485003086541237
"CRA","BRO",0.114519149668363
"HEN","BRO",0.0395296323775153
"HID","BRO",0.0601192350033999
"LAN","BRO",0.0291156102664432
"PAR","BRO",0.00523075656446813
"PEN","BRO",0.053830721105391
"PYS","BRO",0.0540113177542115
"SHE","BRO",0.0585870955263805
"STO","BRO",0.034678302439459
"THE","BRO",0.0526877964256458
"WES","BRO",0.0547294478172136
"CAN","CAD",0.107053341148801
"CAS","CAD",0.119351454007009
"CLA","CAD",0.110686701534557
"CRA","CAD",0.046197982963739
"HEN","CAD",0.116616769549574
"HID","CAD",0.101914561497755
"LAN","CAD",0.146902657491136
"PAR","CAD",0.12937845701531
"PEN","CAD",0.171484124149934
"PYS","CAD",0.0999195618895981
"SHE","CAD",0.101542816435371
"STO","CAD",0.141917196537625
"THE","CAD",0.114406513224088
"WES","CAD",0.114885552163765
"CAS","CAN",0.0480175084323536
"CLA","CAN",0.0327797122350984
"CRA","CAN",0.0860698237852364
"HEN","CAN",0.0396716547103113
"HID","CAN",0.0216995032844859
"LAN","CAN",0.0792863423613733
"PAR","CAN",0.0586367574024593
"PEN","CAN",0.10223218113006
"PYS","CAN",0.0100993798167881
"SHE","CAN",0.0194606700546425
"STO","CAN",0.0642818604548506
"THE","CAN",0.0355380641082698
"WES","CAN",0.0364730093872782
"CLA","CAS",0.0362558970097209
"CRA","CAS",0.0994725409761825
"HEN","CAS",0.0199852591999242
"HID","CAS",0.0436613824290605
"LAN","CAS",0.0458285270769715
"PAR","CAS",0.020907728943657
"PEN","CAS",0.0709681672414863
"PYS","CAS",0.0380001047874037
"SHE","CAS",0.0447276199601593
"STO","CAS",0.0332558169349289
"THE","CAS",0.0357469359904648
"WES","CAS",0.0400245314407452
"CRA","CLA",0.0894245119320841
"HEN","CLA",0.0265883138484541
"HID","CLA",0.0310523109250255
"LAN","CLA",0.067734031800996
"PAR","CLA",0.0460966036411268
"PEN","CLA",0.0907223906836846
"PYS","CLA",0.024588461856406
"SHE","CLA",0.0278090383265748
"STO","CLA",0.0530930917857623
"THE","CLA",0.0153622350483196
"WES","CLA",0.0126002605650837
"HEN","CRA",0.096643200034315
"HID","CRA",0.0800824240031909
"LAN","CRA",0.128776585928646
"PAR","CRA",0.110484789747991
"PEN","CRA",0.154586415758699
"PYS","CRA",0.0752662823218832
"SHE","CRA",0.0821862201330262
"STO","CRA",0.120039626975345
"THE","CRA",0.0937425367463454
"WES","CRA",0.0949026589487959
"HID","HEN",0.0370353318278109
"LAN","HEN",0.0583039381439737
"PAR","HEN",0.0369830282251095
"PEN","HEN",0.0819858427537215
"PYS","HEN",0.0337708051475601
"SHE","HEN",0.037020622131386
"STO","HEN",0.046174743361487
"THE","HEN",0.0275693275542471
"WES","HEN",0.0307911204696745
"LAN","HID",0.0788924835202015
"PAR","HID",0.0567604712909411
"PEN","HID",0.102311068473703
"PYS","HID",0.0127111318511851
"SHE","HID",0.00595178614023754
"STO","HID",0.0637038846892293
"THE","HID",0.0323567553043024
"WES","HID",0.0346021825888402
"PAR","LAN",0.0324367795261763
"PEN","LAN",0.0211578787106584
"PYS","LAN",0.0722900428715717
"SHE","LAN",0.0761449045947936
"STO","LAN",0.0427741153368039
"THE","LAN",0.0699445500779986
"WES","LAN",0.073811669020627
"PEN","PAR",0.0575050439973985
"PYS","PAR",0.0481474353213098
"SHE","PAR",0.0557193885159135
"STO","PAR",0.0349678829779819
"THE","PAR",0.0478018404910067
"WES","PAR",0.0523840361088867
"PYS","PEN",0.0970890416380438
"SHE","PEN",0.0995806931087082
"STO","PEN",0.0699707620415659
"THE","PEN",0.0949604654402878
"WES","PEN",0.0980244081441144
"SHE","PYS",0.0125505428587447
"STO","PYS",0.0561933607600122
"THE","PYS",0.0275263185573898
"WES","PYS",0.0267616321781065
"STO","SHE",0.0602624525067131
"THE","SHE",0.0306177207651529
"WES","SHE",0.0310932277749718
"THE","STO",0.0550327627733511
"WES","STO",0.0572317495475319
"WES","THE",0.0161134031626178
